form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00834077,SB.546,,SB21B,ORG,AUDIBLE,,,,,,1 WASHINGTON PARK,,NEWARK,NJ,07102,,,2024-01-02,14.95,,SUBSCRIPTION,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.448,,SB21B,ORG,CASEY'S-WATERLOO,,,,,,1900 WEST,,WATERLOO,IA,50701,,,2024-01-02,56.00,,TRAVEL,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.3,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445A LAUGHLIN AVENUE,,MCLEAN,VA,22101,,,2024-01-02,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00834077,SB.465,,SB21B,ORG,CHICK-FIL-A,,,,,,4502 UNIVERSITY AVE,,WEST DES MOINES,IA,50266,,,2024-01-02,63.28,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.529,,SB21B,ORG,CHICK-FIL-A,,,,,,4502 UNIVERSITY AVE,,WEST DES MOINES,IA,50266,,,2024-01-02,15.45,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.531,,SB21B,ORG,CHICK-FIL-A,,,,,,4502 UNIVERSITY AVE,,WEST DES MOINES,IA,50266,,,2024-01-02,80.20,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.543,,SB21B,ORG,CHICK-FIL-A,,,,,,4502 UNIVERSITY AVE,,WEST DES MOINES,IA,50266,,,2024-01-02,50.41,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.561,,SB21B,ORG,CHICK-FIL-A,,,,,,4502 UNIVERSITY AVE,,WEST DES MOINES,IA,50266,,,2024-01-02,110.21,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.572,,SB21B,ORG,CHICK-FIL-A,,,,,,4502 UNIVERSITY AVE,,WEST DES MOINES,IA,50266,,,2024-01-02,193.67,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.585,,SB21B,ORG,CHICK-FIL-A,,,,,,4502 UNIVERSITY AVE,,WEST DES MOINES,IA,50266,,,2024-01-02,5.30,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.586,,SB21B,ORG,CHICK-FIL-A,,,,,,4502 UNIVERSITY AVE,,WEST DES MOINES,IA,50266,,,2024-01-02,193.67,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.625,,SB21B,ORG,CHICK-FIL-A,,,,,,4502 UNIVERSITY AVE,,WEST DES MOINES,IA,50266,,,2024-01-02,114.83,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
